ymdh,rf
2017010101,0
2017010102,0
2017010103,0
2017010104,0
2017010105,0
2017010106,0
2017010107,0
2017010108,0
2017010109,0
2017010110,0
2017010111,0
2017010112,0
2017010113,0
2017010114,0
2017010115,0
2017010116,0
2017010117,0
2017010118,0
2017010119,0
2017010120,0
2017010121,0
2017010122,0
2017010123,0
2017010124,0
2017010201,0
2017010202,0
2017010203,0
2017010204,0
2017010205,0
2017010206,0
2017010207,0
2017010208,0
2017010209,0
2017010210,0
2017010211,0
2017010212,0
2017010213,0
2017010214,0
2017010215,0
2017010216,0
2017010217,0
2017010218,0
2017010219,0
2017010220,0
2017010221,0
2017010222,0
2017010223,0
2017010224,0
2017010301,0
2017010302,0
2017010303,0
2017010304,0
2017010305,0
2017010306,0
2017010307,0
2017010308,0
2017010309,0
2017010310,0
2017010311,0
2017010312,0
2017010313,0
2017010314,0
2017010315,0
2017010316,0
2017010317,0
2017010318,0
2017010319,0
2017010320,0
2017010321,0
2017010322,0
2017010323,0
2017010324,0
2017010401,0
2017010402,0
2017010403,0
2017010404,0
2017010405,0
2017010406,0
2017010407,0
2017010408,0
2017010409,0
2017010410,0
2017010411,0
2017010412,0
2017010413,0
2017010414,0
2017010415,0
2017010416,0
2017010417,0
2017010418,0
2017010419,0
2017010420,0
2017010421,0
2017010422,0
2017010423,0
2017010424,0
2017010501,0
2017010502,0
2017010503,0
2017010504,0
2017010505,0
2017010506,0
2017010507,0
2017010508,0
2017010509,0
2017010510,0
2017010511,0
2017010512,0
2017010513,0
2017010514,0
2017010515,0
2017010516,0
2017010517,0
2017010518,0
2017010519,0
2017010520,0
2017010521,0
2017010522,0
2017010523,0
2017010524,0
2017010601,0
2017010602,0
2017010603,0
2017010604,0
2017010605,0
2017010606,0
2017010607,0
2017010608,0
2017010609,0
2017010610,0
2017010611,0
2017010612,0
2017010613,0
2017010614,0
2017010615,0
2017010616,0
2017010617,0
2017010618,0
2017010619,0
2017010620,0
2017010621,0
2017010622,0
2017010623,0
2017010624,0
2017010701,0
2017010702,0
2017010703,0
2017010704,0
2017010705,0
2017010706,0
2017010707,0
2017010708,0
2017010709,0
2017010710,0
2017010711,0
2017010712,0
2017010713,0
2017010714,0
2017010715,0
2017010716,0
2017010717,0
2017010718,0
2017010719,0
2017010720,0
2017010721,0
2017010722,0
2017010723,0
2017010724,0
2017010801,0
2017010802,1
2017010803,1
2017010804,0
2017010805,0
2017010806,0
2017010807,0
2017010808,0
2017010809,0
2017010810,0
2017010811,0
2017010812,0
2017010813,0
2017010814,0
2017010815,0
2017010816,0
2017010817,0
2017010818,0
2017010819,0
2017010820,0
2017010821,0
2017010822,0
2017010823,0
2017010824,0
2017010901,0
2017010902,0
2017010903,0
2017010904,0
2017010905,0
2017010906,0
2017010907,0
2017010908,0
2017010909,0
2017010910,0
2017010911,0
2017010912,0
2017010913,0
2017010914,0
2017010915,0
2017010916,0
2017010917,0
2017010918,0
2017010919,0
2017010920,0
2017010921,0
2017010922,0
2017010923,0
2017010924,0
2017011001,0
2017011002,0
2017011003,0
2017011004,0
2017011005,0
2017011006,0
2017011007,0
2017011008,0
2017011009,0
2017011010,0
2017011011,0
2017011012,0
2017011013,0
2017011014,0
2017011015,0
2017011016,0
2017011017,0
2017011018,0
2017011019,0
2017011020,0
2017011021,0
2017011022,0
2017011023,0
2017011024,0
2017011101,0
2017011102,0
2017011103,0
2017011104,0
2017011105,0
2017011106,0
2017011107,0
2017011108,0
2017011109,0
2017011110,0
2017011111,0
2017011112,0
2017011113,0
2017011114,0
2017011115,0
2017011116,0
2017011117,0
2017011118,0
2017011119,0
2017011120,0
2017011121,0
2017011122,0
2017011123,0
2017011124,0
2017011201,0
2017011202,0
2017011203,0
2017011204,0
2017011205,0
2017011206,0
2017011207,0
2017011208,0
2017011209,0
2017011210,0
2017011211,0
2017011212,0
2017011213,0
2017011214,0
2017011215,0
2017011216,0
2017011217,0
2017011218,0
2017011219,0
2017011220,0
2017011221,0
2017011222,0
2017011223,0
2017011224,0
2017011301,0
2017011302,0
2017011303,0
2017011304,0
2017011305,0
2017011306,0
2017011307,0
2017011308,0
2017011309,0
2017011310,0
2017011311,0
2017011312,0
2017011313,0
2017011314,0
2017011315,0
2017011316,0
2017011317,0
2017011318,0
2017011319,0
2017011320,0
2017011321,0
2017011322,0
2017011323,0
2017011324,0
2017011401,0
2017011402,0
2017011403,0
2017011404,0
2017011405,0
2017011406,0
2017011407,0
2017011408,0
2017011409,0
2017011410,0
2017011411,0
2017011412,0
2017011413,0
2017011414,0
2017011415,0
2017011416,0
2017011417,0
2017011418,0
2017011419,0
2017011420,0
2017011421,0
2017011422,0
2017011423,0
2017011424,0
2017011501,0
2017011502,0
2017011503,0
2017011504,0
2017011505,0
2017011506,0
2017011507,0
2017011508,0
2017011509,0
2017011510,0
2017011511,0
2017011512,0
2017011513,0
2017011514,0
2017011515,0
2017011516,0
2017011517,0
2017011518,0
2017011519,0
2017011520,0
2017011521,0
2017011522,0
2017011523,0
2017011524,0
2017011601,0
2017011602,0
2017011603,0
2017011604,0
2017011605,0
2017011606,0
2017011607,0
2017011608,0
2017011609,0
2017011610,0
2017011611,0
2017011612,0
2017011613,0
2017011614,0
2017011615,0
2017011616,0
2017011617,0
2017011618,0
2017011619,0
2017011620,0
2017011621,0
2017011622,0
2017011623,0
2017011624,0
2017011701,0
2017011702,0
2017011703,0
2017011704,0
2017011705,0
2017011706,0
2017011707,0
2017011708,0
2017011709,0
2017011710,0
2017011711,0
2017011712,0
