ymdh,wl
2017070101,-.18
2017070102,-.18
2017070103,-.18
2017070104,-.18
2017070105,-.18
2017070106,-.19
2017070107,-.19
2017070108,-.19
2017070109,-.19
2017070110,-.19
2017070111,-.19
2017070112,-.19
2017070113,-.19
2017070114,-.19
2017070115,-.19
2017070116,-.19
2017070117,-.19
2017070118,-.19
2017070119,-.19
2017070120,-.19
2017070121,-.19
2017070122,-.19
2017070123,-.19
2017070124,-.19
2017070201,-.19
2017070202,-.19
2017070203,-.19
2017070204,-.19
2017070205,-.18
2017070206,-.16
2017070207,-.04
2017070208,-.01
2017070209,-.01
2017070210,.17
2017070211,.32
2017070212,.39
2017070213,.32
2017070214,.28
2017070215,.25
2017070216,.21
2017070217,.15
2017070218,.13
2017070219,.10
2017070220,.08
2017070221,.06
2017070222,.06
2017070223,.13
2017070224,.31
2017070301,1.03
2017070302,1.57
2017070303,1.40
2017070304,1.11
2017070305,.92
2017070306,.77
2017070307,.67
2017070308,.60
2017070309,.57
2017070310,.53
2017070311,.48
2017070312,.42
2017070313,.38
2017070314,.35
2017070315,.32
2017070316,.30
2017070317,.27
2017070318,.25
2017070319,.24
2017070320,.23
2017070321,.22
2017070322,.22
2017070323,.22
2017070324,.20
2017070401,.20
2017070402,.21
2017070403,.20
2017070404,.19
2017070405,.18
2017070406,.16
2017070407,.15
2017070408,.14
2017070409,.13
2017070410,.13
2017070411,.12
2017070412,.12
2017070413,.11
2017070414,.10
2017070415,.10
2017070416,.09
2017070417,.09
2017070418,.08
2017070419,.08
2017070420,.07
2017070421,.07
2017070422,.06
2017070423,.06
2017070424,.05
2017070501,.05
2017070502,.04
2017070503,.04
2017070504,.03
2017070505,.03
2017070506,.03
2017070507,.02
2017070508,.02
2017070509,.01
2017070510,.01
2017070511,.01
2017070512,.00
2017070513,.00
2017070514,.00
2017070515,.00
2017070516,.00
2017070517,.00
2017070518,.00
2017070519,.00
2017070520,.08
2017070521,.07
2017070522,.03
2017070523,.01
2017070524,.00
2017070601,.00
2017070602,-.01
2017070603,-.01
2017070604,-.01
2017070605,-.02
2017070606,-.02
2017070607,-.02
2017070608,-.03
2017070609,-.03
2017070610,-.03
2017070611,-.03
2017070612,-.04
2017070613,-.04
2017070614,-.04
2017070615,-.04
2017070616,-.04
2017070617,-.05
2017070618,-.05
2017070619,-.05
2017070620,-.05
2017070621,-.05
2017070622,-.05
2017070623,-.05
2017070624,-.06
2017070701,-.06
2017070702,-.06
2017070703,-.06
2017070704,-.06
2017070705,-.06
2017070706,-.07
2017070707,-.07
2017070708,-.07
2017070709,-.07
2017070710,-.07
2017070711,-.07
2017070712,-.07
2017070713,-.07
2017070714,-.07
2017070715,-.07
2017070716,-.07
2017070717,-.07
2017070718,-.07
2017070719,-.07
2017070720,-.06
2017070721,.00
2017070722,.31
2017070723,.46
2017070724,.53
2017070801,.54
2017070802,.46
2017070803,.39
2017070804,.36
2017070805,.31
2017070806,.27
2017070807,.24
2017070808,.22
2017070809,.20
2017070810,.19
2017070811,.19
2017070812,.19
2017070813,.19
2017070814,.19
2017070815,.21
2017070816,.21
2017070817,.21
2017070818,.21
2017070819,.21
2017070820,.20
2017070821,.18
2017070822,.18
2017070823,.18
2017070824,.17
2017070901,.16
2017070902,.16
2017070903,.16
2017070904,.15
2017070905,.15
2017070906,.14
2017070907,.14
2017070908,.14
2017070909,.13
2017070910,.13
2017070911,.13
2017070912,.11
2017070913,.11
2017070914,.11
2017070915,.11
2017070916,.11
2017070917,.11
2017070918,.11
2017070919,.11
2017070920,.11
2017070921,.10
2017070922,.10
2017070923,.10
2017070924,.09
2017071001,.09
2017071002,.11
2017071003,.13
2017071004,.19
2017071005,.24
2017071006,.23
2017071007,.21
2017071008,.20
2017071009,.33
2017071010,.52
2017071011,.56
2017071012,.65
2017071013,.89
2017071014,.98
2017071015,1.11
2017071016,1.10
2017071017,1.14
2017071018,1.20
2017071019,1.23
2017071020,1.13
2017071021,1.52
2017071022,2.22
2017071023,2.00
2017071024,1.65
2017071101,1.45
2017071102,1.32
2017071103,1.19
2017071104,1.06
2017071105,.98
2017071106,.90
2017071107,.84
2017071108,.79
2017071109,.74
2017071110,.70
2017071111,.67
2017071112,.63
2017071113,.60
2017071114,.57
2017071115,.55
2017071116,.52
2017071117,.50
2017071118,.48
2017071119,.46
2017071120,.44
2017071121,.42
2017071122,.41
2017071123,.39
2017071124,.38
2017071201,.37
2017071202,.35
2017071203,.34
2017071204,.33
2017071205,.32
2017071206,.31
2017071207,.30
2017071208,.29
2017071209,.28
2017071210,.28
2017071211,.27
2017071212,.26
